epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.775,1.77623,2.76547,6.26459,1.57892,0.58692,0.47004,0.38638,0.24164,0.57173,0.43881,0.35753,0.15644,1.26939,1.61219,1.99058,1.29546,0.0028,0.0028,0.0028
2,70.4065,1.2743,1.61485,1.95198,1.22009,0.5417,0.53472,0.54973,0.34936,0.49717,0.53068,0.52446,0.27407,1.1893,1.41271,1.43064,1.17199,0.00568871,0.00568871,0.00568871
3,99.3862,1.25143,1.45299,1.56677,1.18822,0.46297,0.44942,0.44129,0.24759,0.44863,0.43683,0.41665,0.19538,1.54146,1.88426,1.96471,1.37344,0.00856594,0.00856594,0.00856594
4,128.233,1.35179,1.57618,1.50116,1.23581,0.52147,0.48479,0.44132,0.24976,0.5155,0.48069,0.43552,0.1961,1.47915,1.84168,1.9873,1.43178,0.0099406,0.0099406,0.0099406
5,156.774,1.36724,1.58928,1.46184,1.24187,0.3396,0.47257,0.38995,0.20611,0.33156,0.45237,0.36674,0.15619,1.62409,2.19913,2.40703,1.54962,0.0099208,0.0099208,0.0099208
6,184.952,1.37504,1.59955,1.39067,1.24207,0.53108,0.48803,0.48596,0.28867,0.55322,0.50411,0.48908,0.24334,1.46462,1.96082,3.37143,1.41241,0.009901,0.009901,0.009901
7,212.261,1.36133,1.54031,1.37709,1.22359,0.34997,0.43594,0.39831,0.22529,0.35123,0.4422,0.39021,0.18032,1.5473,2.24824,2.36627,1.43009,0.0098812,0.0098812,0.0098812
8,239.576,1.3518,1.50927,1.30776,1.21388,0.64075,0.45223,0.5058,0.27792,0.66325,0.44012,0.48242,0.23919,1.47468,1.93427,1.93208,1.35884,0.0098614,0.0098614,0.0098614
9,266.256,1.33114,1.49558,1.29856,1.20304,0.52527,0.51853,0.50809,0.30462,0.52637,0.50841,0.50271,0.23359,1.42356,1.66244,1.65845,1.32752,0.0098416,0.0098416,0.0098416
10,291.965,1.3058,1.48088,1.28325,1.20423,0.50186,0.57566,0.52656,0.29723,0.50641,0.57529,0.51766,0.25401,1.40178,1.57481,1.68247,1.29684,0.0098218,0.0098218,0.0098218
11,316.293,1.2892,1.45314,1.23348,1.18381,0.56064,0.49599,0.49797,0.30263,0.59146,0.48319,0.49966,0.25533,1.42937,1.84266,1.65493,1.2926,0.009802,0.009802,0.009802
12,341.125,1.25889,1.41429,1.17686,1.18586,0.57845,0.62496,0.61496,0.35857,0.56005,0.59953,0.57413,0.27973,1.36612,1.46378,1.31023,1.29227,0.0097822,0.0097822,0.0097822
